institute_id,name,TLR,RPC,GO,OI,PRECEPTION,city,state,score,nirf_rank
IR-E-C-43708,College of Engineering Trivandrum,59.37,10.39,55.58,49.98,16.31,Thiruvananthapuram,Kerala,38.68,85,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-43708.pdf
IR-E-U-0099,Guru Gobind Singh Indraprastha University,46.40,32.31,49.33,47.61,3.71,New Delhi,Delhi,38.61,86,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0099.pdf
IR-E-U-0379,Lovely Professional University,58.12,15.20,48.55,65.11,2.16,Phagwara,Punjab,38.44,87,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0379.pdf
IR-E-C-27616,University College of Engineering,60.88,4.28,65.20,53.66,4.72,Hyderabad,Telangana,38.43,88,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-27616.pdf
IR-E-U-0555,Graphic Era University,58.70,12.89,48.00,58.38,14.00,Dehradun,Uttarakhand,38.32,89,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0555.pdf
IR-E-C-36969,Coimbatore Institute of Technology,64.87,6.88,45.81,48.63,26.86,Coimbatore,Tamil Nadu,38.24,90,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-36969.pdf
IR-E-C-1297,Siddaganga Institute of Technology,60.33,13.44,54.58,50.17,1.63,Tumkur,Karnataka,38.23,91,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1297.pdf
IR-E-U-0072,National Institute of Technology Patna,52.49,16.60,59.09,43.42,13.20,Patna,Bihar,38.21,92,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0072.pdf
IR-E-C-30045,C.V. Raman Global University ,59.49,5.07,58.70,57.65,10.70,Bhubaneswar,Odisha,37.94,93,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-30045.pdf
IR-E-U-0733,PES University,57.56,12.20,55.31,49.22,10.27,Bengaluru,Karnataka,37.94,93,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0733.pdf
IR-E-U-0489,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,57.70,24.09,36.36,59.88,0.55,Chennai,Tamil Nadu,37.86,95,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0489.pdf
IR-E-U-0522,Jaypee Institute of Information Technology,50.85,19.39,53.38,50.64,9.84,Noida,Uttar Pradesh,37.80,96,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0522.pdf
IR-E-C-18154,University College of Engineering,58.25,10.41,59.54,50.97,1.63,Kakinada,Andhra Pradesh,37.77,97,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-18154.pdf
IR-E-U-0189,National Institute of Technology Hamirpur,45.32,22.62,60.94,45.84,5.69,Hamirpur,Himachal Pradesh,37.73,98,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0189.pdf
IR-E-C-35417,Bharati Vidyapeeth Deemed University College of Engineering,54.62,3.35,65.40,66.06,6.18,Pune,Maharashtra,37.71,99,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-35417.pdf
IR-E-U-0267,Atal Bihari Vajpayee Indian Institute of Information Technology and Management,45.99,17.51,62.35,53.20,7.59,Gwalior,Madhya Pradesh,37.60,100,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0267.pdf
IR-E-C-27058,Mepco Schlenk Engineering College,49.72,18.31,52.51,47.18,18.86,Sivakasi,Tamil Nadu,37.52,101,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-27058.pdf
IR-E-U-0507,Dayalbagh Educational Institute,61.29,7.89,52.51,53.47,8.95,Agra,Uttar Pradesh,37.51,102,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0507.pdf
IR-E-U-0516,Indian Institute of Information Technology Allahabad,42.80,15.69,68.87,44.19,16.69,Prayagraj (Allahabad),Uttar Pradesh,37.41,103,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0516.pdf
IR-E-U-0382,Punjab Technical University,68.53,31.00,13.06,43.60,2.69,Kapurthala,Punjab,37.10,104,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0382.pdf
IR-E-C-36975,Government College of Technology,53.25,9.94,51.64,53.90,24.15,Coimbatore,Tamil Nadu,37.10,104,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-36975.pdf
IR-E-C-16626,Rajalakshmi Engineering College,62.19,4.51,57.76,51.77,2.69,Chennai,Tamil Nadu,37.01,106,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16626.pdf
IR-E-U-0454,Hindustan Institute of Technology  and Science (HITS),59.79,11.96,46.62,56.11,5.21,Chennai,Tamil Nadu,36.98,107,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0454.pdf
IR-E-C-16547,Sri Sairam Engineering College,57.03,6.36,58.74,58.23,3.20,Kancheepuram,Tamil Nadu,36.91,108,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16547.pdf
IR-E-C-42054,Army Institute of Technology,54.68,2.33,64.18,62.39,6.65,Pune,Maharashtra,36.85,109,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-42054.pdf
IR-E-U-0163,The Northcap University,54.88,13.94,56.91,48.16,0.00,Gurgaon,Haryana,36.84,110,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0163.pdf
IR-E-U-0130,Dhirubhai Ambani Institute of Information and Communication Technology,47.25,10.86,68.33,49.81,7.12,Gandhinagar,Gujarat,36.80,111,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0130.pdf
IR-E-U-0190,Shoolini University of Biotechnology and Management Sciences,53.75,22.22,46.02,47.26,0.00,Solan,Himachal Pradesh,36.72,112,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0190.pdf
IR-E-C-18886,Shri Ramdeobaba College of Engineering and Management,60.35,5.29,56.88,51.33,4.22,Nagpur,Maharashtra,36.62,113,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-18886.pdf
IR-E-C-1371,New Horizon College of Engineering,55.94,5.26,63.07,55.65,0.55,Bengaluru,Karnataka,36.60,114,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-1371.pdf
IR-E-U-0186,Jaypee University of Information Technology,48.53,18.76,54.81,46.44,7.59,Solan,Himachal Pradesh,36.55,115,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0186.pdf
IR-E-U-0143,Maharaja Sayajirao University of Baroda,57.31,13.41,51.16,47.33,3.71,Vadodara,Gujarat,36.54,116,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0143.pdf
IR-E-U-0223,Jain University,49.08,23.49,46.44,53.20,1.10,Bengluru,Karnataka,36.49,117,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0223.pdf
IR-E-U-0043,"Vignan's Foundation for Science, Technology & Research",59.21,8.03,49.36,57.20,5.21,Guntur,Andhra Pradesh,36.28,118,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0043.pdf
IR-E-U-0367,Veer Surendra Sai University of Technology,51.53,19.97,47.54,46.54,5.21,Burla,Odisha,36.13,119,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0367.pdf
IR-E-U-0175,YMCA University of Science and Technology,60.17,6.39,55.19,47.37,1.63,Faridabad,Haryana,35.91,120,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0175.pdf
IR-E-S-8898,"National Institute of Food Technology, Enterprenurship & Management",53.96,3.72,59.10,64.06,1.10,Sonipat,Haryana,35.65,121,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-S-8898.pdf
IR-E-C-6581,Pondicherry Engineering College,55.46,15.73,43.96,40.61,12.79,Puducherry,Pondicherry,35.49,122,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-6581.pdf
IR-E-U-0445,B. S. Abdur Rahman Crescent Institute of Science and Technology,62.25,8.72,45.67,45.18,4.72,Chennai,Tamil Nadu,35.41,123,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0445.pdf
IR-E-C-25622,Chaitanya Bharathi Institute of Technology,57.82,2.01,57.52,50.22,8.50,Hyderabad,Telangana,35.32,124,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-25622.pdf
